"Census.Tract","percent_households"
"Census Tract 3201.01",4.24879544459045
"Census Tract 3201.02",6.76378772112383
"Census Tract 3204",5.33980582524272
"Census Tract 3206",5.00782472613459
"Census Tract 3301.01",3.52846832397755
"Census Tract 3301.02",5.11890366787586
"Census Tract 3301.03",5.198973042362
"Census Tract 3302",2.85374554102259
"Census Tract 3403",0.87719298245614
"Census Tract 3404",1.24610591900312
"Census Tract 3405",2.61627906976744
"Census Tract 3406",4.08163265306122
"Census Tract 3501",4.36681222707424
"Census Tract 3504",1.49253731343284
"Census Tract 3510",4.82573726541555
"Census Tract 3511",2.06185567010309
"Census Tract 3514",1.17647058823529
"Census Tract 3515",5.33333333333333
"Census Tract 3602",3.84615384615385
"Census Tract 3801",3.80952380952381
"Census Tract 3802",5.64102564102564
"Census Tract 3806",3.98773006134969
"Census Tract 3812",5
"Census Tract 3814",3.33333333333333
"Census Tract 3815",10.8695652173913
"Census Tract 3817",NA
"Census Tract 3818",6
"Census Tract 3819",6.66666666666667
"Census Tract 3901",9.77777777777778
"Census Tract 3902",5.99250936329588
"Census Tract 3903",3.28638497652582
"Census Tract 3904",4.52830188679245
"Census Tract 3905",7.3943661971831
"Census Tract 3906",0.568181818181818
"Census Tract 3907",4.33734939759036
"Census Tract 4003",8.69565217391304
"Census Tract 4004",3.35570469798658
"Census Tract 4005",2.33644859813084
"Census Tract 4008",1.38248847926267
"Census Tract 4101",5.88235294117647
"Census Tract 4102",4.24242424242424
"Census Tract 4105",3.65168539325843
"Census Tract 4106",5
"Census Tract 4107",4.6195652173913
"Census Tract 4108",2.77136258660508
"Census Tract 4109",4.16666666666667
"Census Tract 4110",4.54545454545455
"Census Tract 4111",2.9126213592233
"Census Tract 4112",3.57142857142857
"Census Tract 4201",9.1743119266055
"Census Tract 4202",2.15827338129496
"Census Tract 4203",3.91061452513966
"Census Tract 4204",8.7719298245614
"Census Tract 4205",3.62694300518135
"Census Tract 4206",5.23560209424084
"Census Tract 4207",6.27615062761506
"Census Tract 4208",8.16326530612245
"Census Tract 4212",8.41121495327103
"Census Tract 4301.01",6.53950953678474
"Census Tract 4301.02",7.08661417322835
"Census Tract 4302",4.65587044534413
"Census Tract 4303",4.08163265306122
"Census Tract 4304",3.37552742616034
"Census Tract 4305",4.12698412698413
"Census Tract 4306",6.34920634920635
"Census Tract 4307",5.12820512820513
"Census Tract 4308",3.93013100436681
"Census Tract 4309",5.68181818181818
"Census Tract 4312",6.79012345679012
"Census Tract 4313.01",5.97014925373134
"Census Tract 4313.02",7.69230769230769
"Census Tract 4314",2.63620386643234
"Census Tract 4401.01",6.68449197860963
"Census Tract 4401.02",5.8659217877095
"Census Tract 4402.01",3.31858407079646
"Census Tract 4402.02",2.9673590504451
"Census Tract 4403",1.34228187919463
"Census Tract 4406",1.93798449612403
"Census Tract 4407",3.18471337579618
"Census Tract 4408",6
"Census Tract 4409",5.75221238938053
