"Census.Tract","County","State","percent","Opposite.sex.spouse","Same.sex.spouse","Opposite.sex.unmarried.partner","Same.sex.unmarried.partner","total","total.same.sex","percent_households"
"Census Tract 702","Cook County","Illinois","3.71%",485,12,164,13,674,25,3.70919881305638
"Census Tract 703","Cook County","Illinois","4.55%",554,19,201,17,791,36,4.551201011378
"Census Tract 704","Cook County","Illinois","2.38%",507,6,108,9,630,15,2.38095238095238
"Census Tract 705","Cook County","Illinois","3.23%",556,12,103,10,681,22,3.23054331864905
"Census Tract 706","Cook County","Illinois","2.74%",689,16,93,6,804,22,2.7363184079602
"Census Tract 707","Cook County","Illinois","2.46%",648,12,145,8,813,20,2.460024600246
"Census Tract 710","Cook County","Illinois","1.00%",418,3,75,2,498,5,1.00401606425703
"Census Tract 711","Cook County","Illinois","2.21%",363,4,80,6,453,10,2.2075055187638
"Census Tract 712","Cook County","Illinois","5.16%",400,9,188,23,620,32,5.16129032258065
"Census Tract 713","Cook County","Illinois","1.69%",638,5,176,9,828,14,1.69082125603865
"Census Tract 714","Cook County","Illinois","3.64%",645,21,228,12,906,33,3.64238410596026
"Census Tract 715","Cook County","Illinois","3.03%",772,12,349,23,1156,35,3.02768166089965
"Census Tract 716","Cook County","Illinois","1.22%",359,3,45,2,409,5,1.22249388753056
"Census Tract 717","Cook County","Illinois","3.62%",308,11,65,3,387,14,3.61757105943152
"Census Tract 718","Cook County","Illinois","1.41%",492,6,66,2,566,8,1.41342756183746
"Census Tract 801","Cook County","Illinois","3.92%",1151,36,222,20,1429,56,3.91882435269419
"Census Tract 802.01","Cook County","Illinois","4.31%",470,15,130,12,627,27,4.30622009569378
"Census Tract 802.02","Cook County","Illinois","5.62%",520,22,185,20,747,42,5.62248995983936
"Census Tract 803","Cook County","Illinois","3.51%",622,15,368,21,1026,36,3.50877192982456
"Census Tract 804","Cook County","Illinois","5.66%",359,18,124,11,512,29,5.6640625
