"Census.Tract","County","State","percent","Opposite.sex.spouse","Same.sex.spouse","Opposite.sex.unmarried.partner","Same.sex.unmarried.partner","total","total.same.sex","percent_households"
"Census Tract 6713","Cook County","Illinois","4.17%",127,5,57,3,192,8,4.16666666666667
"Census Tract 6714","Cook County","Illinois","0.00%",104,0,40,0,144,0,0
"Census Tract 6715","Cook County","Illinois","2.38%",178,5,68,1,252,6,2.38095238095238
"Census Tract 6716","Cook County","Illinois","1.32%",100,2,49,0,151,2,1.32450331125828
"Census Tract 6718","Cook County","Illinois","1.05%",73,0,21,1,95,1,1.05263157894737
"Census Tract 6719","Cook County","Illinois","4.72%",83,0,18,5,106,5,4.71698113207547
"Census Tract 6720","Cook County","Illinois","2.59%",259,5,79,4,347,9,2.59365994236311
"Census Tract 6805","Cook County","Illinois","2.83%",57,2,46,1,106,3,2.83018867924528
"Census Tract 6806","Cook County","Illinois","3.06%",55,1,40,2,98,3,3.06122448979592
"Census Tract 6809","Cook County","Illinois","3.83%",160,1,91,9,261,10,3.83141762452107
"Census Tract 6810","Cook County","Illinois","4.57%",126,7,62,2,197,9,4.56852791878173
"Census Tract 6811","Cook County","Illinois","5.38%",131,1,80,11,223,12,5.38116591928251
"Census Tract 6812","Cook County","Illinois","2.47%",106,1,52,3,162,4,2.46913580246914
"Census Tract 6813","Cook County","Illinois","1.69%",120,2,55,1,178,3,1.68539325842697
"Census Tract 6814","Cook County","Illinois","3.72%",147,4,60,4,215,8,3.72093023255814
"Census Tract 6903","Cook County","Illinois","6.11%",65,3,58,5,131,8,6.10687022900763
"Census Tract 6904","Cook County","Illinois","3.91%",187,6,83,5,281,11,3.91459074733096
"Census Tract 6905","Cook County","Illinois","6.76%",37,1,32,4,74,5,6.75675675675676
"Census Tract 6909","Cook County","Illinois","2.37%",238,2,92,6,338,8,2.36686390532544
"Census Tract 6910","Cook County","Illinois","6.09%",217,9,76,10,312,19,6.08974358974359
"Census Tract 6911","Cook County","Illinois","3.91%",155,0,91,10,256,10,3.90625
"Census Tract 6912","Cook County","Illinois","1.07%",115,0,70,2,187,2,1.06951871657754
"Census Tract 6913","Cook County","Illinois","1.75%",211,0,70,5,286,5,1.74825174825175
"Census Tract 6914","Cook County","Illinois","5.26%",231,8,75,9,323,17,5.26315789473684
"Census Tract 6915","Cook County","Illinois","3.64%",101,4,58,2,165,6,3.63636363636364
"Census Tract 7001","Cook County","Illinois","1.62%",432,4,53,4,493,8,1.62271805273834
"Census Tract 7002","Cook County","Illinois","1.26%",1008,7,91,7,1113,14,1.25786163522013
"Census Tract 7003.01","Cook County","Illinois","1.29%",884,8,107,5,1004,13,1.29482071713147
"Census Tract 7003.02","Cook County","Illinois","1.15%",954,7,81,5,1047,12,1.14613180515759
"Census Tract 7004.01","Cook County","Illinois","0.77%",808,2,96,5,911,7,0.768386388583974
"Census Tract 7004.02","Cook County","Illinois","1.85%",577,8,58,4,647,12,1.85471406491499
"Census Tract 7005.01","Cook County","Illinois","0.61%",880,6,104,0,990,6,0.606060606060606
"Census Tract 7005.02","Cook County","Illinois","0.89%",407,2,38,2,449,4,0.89086859688196
"Census Tract 7101","Cook County","Illinois","4.23%",48,0,20,3,71,3,4.22535211267606
"Census Tract 7102","Cook County","Illinois","1.18%",219,2,116,2,339,4,1.17994100294985
"Census Tract 7103","Cook County","Illinois","2.17%",93,1,42,2,138,3,2.17391304347826
"Census Tract 7104","Cook County","Illinois","2.54%",422,8,116,6,552,14,2.53623188405797
"Census Tract 7105","Cook County","Illinois","1.72%",294,3,106,4,407,7,1.71990171990172
"Census Tract 7106","Cook County","Illinois","2.60%",95,1,55,3,154,4,2.5974025974026
"Census Tract 7107","Cook County","Illinois","1.72%",214,0,72,5,291,5,1.71821305841924
"Census Tract 7108","Cook County","Illinois","3.59%",306,9,97,6,418,15,3.58851674641148
"Census Tract 7109","Cook County","Illinois","1.91%",110,3,44,0,157,3,1.91082802547771
"Census Tract 7110","Cook County","Illinois","3.10%",190,4,60,4,258,8,3.10077519379845
"Census Tract 7111","Cook County","Illinois","1.12%",208,2,58,1,269,3,1.11524163568773
"Census Tract 7112","Cook County","Illinois","2.01%",446,8,90,3,547,11,2.0109689213894
"Census Tract 7113","Cook County","Illinois","1.86%",126,3,32,0,161,3,1.86335403726708
"Census Tract 7114","Cook County","Illinois","1.77%",173,2,49,2,226,4,1.76991150442478
"Census Tract 7115","Cook County","Illinois","1.04%",149,2,42,0,193,2,1.03626943005181
"Census Tract 7201","Cook County","Illinois","1.63%",761,12,26,1,800,13,1.625
"Census Tract 7202","Cook County","Illinois","0.54%",691,0,50,4,745,4,0.536912751677852
"Census Tract 7203","Cook County","Illinois","0.92%",830,6,29,2,867,8,0.922722029988466
"Census Tract 7204","Cook County","Illinois","0.24%",388,1,29,0,418,1,0.239234449760766
"Census Tract 7205","Cook County","Illinois","0.42%",444,1,26,1,472,2,0.423728813559322
"Census Tract 7206","Cook County","Illinois","0.94%",401,4,19,0,424,4,0.943396226415094
"Census Tract 7207","Cook County","Illinois","0.78%",439,3,67,1,510,4,0.784313725490196
"Census Tract 7301","Cook County","Illinois","1.85%",220,2,46,3,271,5,1.8450184501845
"Census Tract 7302.01","Cook County","Illinois","2.60%",427,6,136,9,578,15,2.59515570934256
"Census Tract 7302.02","Cook County","Illinois","2.54%",226,2,43,5,276,7,2.53623188405797
"Census Tract 7303","Cook County","Illinois","3.70%",94,2,10,2,108,4,3.7037037037037
"Census Tract 7304","Cook County","Illinois","1.51%",345,3,46,3,397,6,1.51133501259446
"Census Tract 7305","Cook County","Illinois","0.95%",346,4,70,0,420,4,0.952380952380952
"Census Tract 7306","Cook County","Illinois","1.93%",305,2,51,5,363,7,1.92837465564738
"Census Tract 7307","Cook County","Illinois","3.30%",238,4,26,5,273,9,3.2967032967033
"Census Tract 7401","Cook County","Illinois","1.01%",622,4,65,3,694,7,1.00864553314121
"Census Tract 7402","Cook County","Illinois","0.16%",1196,2,55,0,1253,2,0.159616919393456
"Census Tract 7403","Cook County","Illinois","0.19%",997,2,77,0,1076,2,0.185873605947955
"Census Tract 7404","Cook County","Illinois","1.26%",860,3,82,9,954,12,1.25786163522013
"Census Tract 7501","Cook County","Illinois","2.72%",323,3,71,8,405,11,2.71604938271605
"Census Tract 7502","Cook County","Illinois","2.21%",484,10,46,2,542,12,2.2140221402214
"Census Tract 7503","Cook County","Illinois","0.37%",490,2,45,0,537,2,0.37243947858473
"Census Tract 7504","Cook County","Illinois","0.69%",513,4,61,0,578,4,0.692041522491349
"Census Tract 7505","Cook County","Illinois","1.27%",619,6,81,3,709,9,1.26939351198872
"Census Tract 7506","Cook County","Illinois","3.49%",262,6,70,6,344,12,3.48837209302326
"Census Tract 7608.01","Cook County","Illinois","0.44%",807,3,106,1,917,4,0.436205016357688
"Census Tract 7608.02","Cook County","Illinois","0.76%",480,3,41,1,525,4,0.761904761904762
"Census Tract 7608.03","Cook County","Illinois","1.86%",1116,12,147,12,1287,24,1.86480186480186
"Census Tract 7702.01","Cook County","Illinois","2.33%",1066,18,147,11,1242,29,2.33494363929147
"Census Tract 7702.02","Cook County","Illinois","1.33%",1081,10,102,6,1199,16,1.33444537114262
"Census Tract 7703","Cook County","Illinois","1.28%",1452,6,167,15,1640,21,1.28048780487805
"Census Tract 7704","Cook County","Illinois","0.96%",817,6,107,3,933,9,0.964630225080386
"Census Tract 7705","Cook County","Illinois","1.65%",628,8,148,5,789,13,1.64765525982256
"Census Tract 7706.01","Cook County","Illinois","0.42%",666,1,41,2,710,3,0.422535211267606
"Census Tract 7706.02","Cook County","Illinois","0.33%",779,0,120,3,902,3,0.332594235033259
"Census Tract 7707","Cook County","Illinois","0.19%",455,1,59,0,515,1,0.194174757281553
"Census Tract 7708","Cook County","Illinois","1.43%",966,11,135,5,1117,16,1.43240823634736
"Census Tract 7709.01","Cook County","Illinois","0.52%",1067,4,78,2,1151,6,0.52128583840139
"Census Tract 7709.02","Cook County","Illinois","0.73%",757,6,54,0,817,6,0.734394124847001
"Census Tract 8001","Cook County","Illinois","0.47%",626,3,14,0,643,3,0.46656298600311
"Census Tract 8002","Cook County","Illinois","0.24%",1648,4,49,0,1701,4,0.235155790711346
"Census Tract 8003","Cook County","Illinois","0.11%",873,1,20,0,894,1,0.111856823266219
"Census Tract 8004","Cook County","Illinois","0.30%",972,2,15,1,990,3,0.303030303030303
"Census Tract 8005","Cook County","Illinois","0.24%",1230,3,18,0,1251,3,0.239808153477218
"Census Tract 8006","Cook County","Illinois","0.34%",579,2,9,0,590,2,0.338983050847458
"Census Tract 8007","Cook County","Illinois","0.61%",1286,6,14,2,1308,8,0.611620795107034
"Census Tract 8008","Cook County","Illinois","0.91%",506,4,39,1,550,5,0.909090909090909
"Census Tract 8009","Cook County","Illinois","0.72%",1079,7,28,1,1115,8,0.717488789237668
"Census Tract 8010","Cook County","Illinois","0.64%",1222,5,28,3,1258,8,0.635930047694754
"Census Tract 8011","Cook County","Illinois","0.50%",1183,5,21,1,1210,6,0.495867768595041
"Census Tract 8012","Cook County","Illinois","0.64%",914,5,11,1,931,6,0.644468313641246
"Census Tract 8013","Cook County","Illinois","0.84%",1033,7,25,2,1067,9,0.84348641049672
"Census Tract 8014","Cook County","Illinois","0.64%",759,5,21,0,785,5,0.636942675159236
"Census Tract 8015","Cook County","Illinois","0.52%",1465,7,73,1,1546,8,0.517464424320828
"Census Tract 8016.01","Cook County","Illinois","0.34%",1151,3,36,1,1191,4,0.335852225020991
"Census Tract 8016.03","Cook County","Illinois","0.78%",700,3,59,3,765,6,0.784313725490196
"Census Tract 8016.05","Cook County","Illinois","0.33%",1480,2,46,3,1531,5,0.326583932070542
"Census Tract 8016.06","Cook County","Illinois","0.39%",1720,7,64,0,1791,7,0.390843104410944
"Census Tract 8016.07","Cook County","Illinois","0.22%",1298,2,51,1,1352,3,0.22189349112426
"Census Tract 8016.08","Cook County","Illinois","0.32%",1797,1,52,5,1855,6,0.323450134770889
"Census Tract 8017.01","Cook County","Illinois","0.00%",1009,0,24,0,1033,0,0
"Census Tract 8017.02","Cook County","Illinois","0.17%",1133,2,39,0,1174,2,0.170357751277683
"Census Tract 8018","Cook County","Illinois","0.53%",1457,3,52,5,1517,8,0.5273566249176
"Census Tract 8019.01","Cook County","Illinois","0.99%",1018,7,78,4,1107,11,0.993676603432701
"Census Tract 8019.02","Cook County","Illinois","0.81%",838,4,19,3,864,7,0.810185185185185
"Census Tract 8020.02","Cook County","Illinois","0.65%",1188,5,33,3,1229,8,0.65093572009764
"Census Tract 8020.03","Cook County","Illinois","0.31%",614,1,30,1,646,2,0.309597523219814
"Census Tract 8020.04","Cook County","Illinois","0.51%",1060,2,110,4,1176,6,0.510204081632653
"Census Tract 8021","Cook County","Illinois","0.22%",891,0,14,2,907,2,0.220507166482911
"Census Tract 8022","Cook County","Illinois","0.60%",1110,6,57,1,1174,7,0.596252129471891
"Census Tract 8023","Cook County","Illinois","0.57%",1359,8,33,0,1400,8,0.571428571428571
"Census Tract 8024.02","Cook County","Illinois","1.65%",1121,13,131,8,1273,21,1.6496465043205
"Census Tract 8024.03","Cook County","Illinois","1.46%",288,2,50,3,343,5,1.45772594752187
"Census Tract 8024.04","Cook County","Illinois","1.13%",1196,8,201,8,1413,16,1.13234253361642
"Census Tract 8025.03","Cook County","Illinois","1.31%",1415,15,97,5,1532,20,1.30548302872063
"Census Tract 8025.04","Cook County","Illinois","0.80%",1276,7,87,4,1374,11,0.800582241630277
"Census Tract 8025.05","Cook County","Illinois","1.45%",1096,8,196,11,1311,19,1.44927536231884
"Census Tract 8025.06","Cook County","Illinois","1.55%",401,4,45,3,453,7,1.54525386313466
"Census Tract 8026.05","Cook County","Illinois","0.76%",1721,8,108,6,1843,14,0.759631036353771
"Census Tract 8026.07","Cook County","Illinois","0.51%",375,2,12,0,389,2,0.51413881748072
"Census Tract 8026.08","Cook County","Illinois","0.44%",1467,2,116,5,1590,7,0.440251572327044
"Census Tract 8026.09","Cook County","Illinois","1.20%",1070,8,166,7,1251,15,1.19904076738609
"Census Tract 8026.10","Cook County","Illinois","0.90%",416,4,25,0,445,4,0.898876404494382
"Census Tract 8027.01","Cook County","Illinois","0.58%",1468,4,77,5,1554,9,0.579150579150579
"Census Tract 8027.02","Cook County","Illinois","0.26%",1085,1,49,2,1137,3,0.263852242744063
"Census Tract 8028.01","Cook County","Illinois","0.64%",1168,7,66,1,1242,8,0.644122383252818
"Census Tract 8028.02","Cook County","Illinois","0.48%",1590,4,70,4,1668,8,0.479616306954436
"Census Tract 8029","Cook County","Illinois","0.75%",1542,12,53,0,1607,12,0.74673304293715
"Census Tract 8030.05","Cook County","Illinois","0.31%",625,1,28,1,655,2,0.305343511450382
"Census Tract 8030.07","Cook County","Illinois","0.58%",1290,6,93,2,1391,8,0.575125808770669
"Census Tract 8030.08","Cook County","Illinois","0.08%",1201,0,49,1,1251,1,0.0799360511590727
"Census Tract 8030.10","Cook County","Illinois","0.52%",1260,6,76,1,1343,7,0.521221146686523
"Census Tract 8030.12","Cook County","Illinois","0.76%",451,2,69,2,524,4,0.763358778625954
"Census Tract 8030.13","Cook County","Illinois","0.54%",1187,4,98,3,1292,7,0.541795665634675
"Census Tract 8030.14","Cook County","Illinois","0.48%",755,3,68,1,827,4,0.483675937122128
"Census Tract 8030.15","Cook County","Illinois","1.01%",1096,9,79,3,1187,12,1.01095197978096
"Census Tract 8030.16","Cook County","Illinois","0.46%",618,1,28,2,649,3,0.462249614791988
"Census Tract 8030.17","Cook County","Illinois","1.12%",1354,9,143,8,1514,17,1.12285336856011
"Census Tract 8031","Cook County","Illinois","0.55%",885,5,27,0,917,5,0.54525627044711
"Census Tract 8032","Cook County","Illinois","0.73%",1163,6,57,3,1229,9,0.732302685109845
"Census Tract 8033","Cook County","Illinois","1.61%",1071,10,151,10,1242,20,1.61030595813205
"Census Tract 8034","Cook County","Illinois","0.67%",1560,4,75,7,1646,11,0.668286755771567
"Census Tract 8035","Cook County","Illinois","0.35%",1362,2,52,3,1419,5,0.352360817477097
"Census Tract 8036.03","Cook County","Illinois","0.38%",1798,5,59,2,1864,7,0.375536480686695
"Census Tract 8036.04","Cook County","Illinois","0.84%",869,6,75,2,952,8,0.840336134453782
"Census Tract 8036.05","Cook County","Illinois","0.53%",1568,6,128,3,1705,9,0.527859237536657
"Census Tract 8036.07","Cook County","Illinois","0.69%",1218,5,82,4,1309,9,0.687547746371276
"Census Tract 8036.08","Cook County","Illinois","0.95%",1541,14,224,3,1782,17,0.953984287317621
"Census Tract 8036.11","Cook County","Illinois","1.41%",887,8,164,7,1066,15,1.40712945590994
"Census Tract 8036.12","Cook County","Illinois","1.29%",519,6,167,3,695,9,1.29496402877698
"Census Tract 8036.13","Cook County","Illinois","0.83%",494,5,107,0,606,5,0.825082508250825
"Census Tract 8036.14","Cook County","Illinois","1.17%",588,7,173,2,770,9,1.16883116883117
"Census Tract 8036.15","Cook County","Illinois","0.79%",529,4,95,1,629,5,0.794912559618442
"Census Tract 8036.16","Cook County","Illinois","1.74%",837,11,179,7,1034,18,1.74081237911025
"Census Tract 8037.01","Cook County","Illinois","2.13%",488,10,109,3,610,13,2.13114754098361
"Census Tract 8037.02","Cook County","Illinois","1.51%",1372,13,132,10,1527,23,1.50622134905043
"Census Tract 8038","Cook County","Illinois","0.36%",1031,0,79,4,1114,4,0.359066427289048
"Census Tract 8039.01","Cook County","Illinois","0.36%",730,3,96,0,829,3,0.361881785283474
"Census Tract 8039.02","Cook County","Illinois","0.00%",722,0,67,0,789,0,0
"Census Tract 8040","Cook County","Illinois","1.43%",1000,9,102,7,1118,16,1.43112701252236
"Census Tract 8041.02","Cook County","Illinois","0.51%",1869,4,64,6,1943,10,0.514668039114771
"Census Tract 8041.04","Cook County","Illinois","0.47%",1215,6,47,0,1268,6,0.473186119873817
"Census Tract 8041.05","Cook County","Illinois","0.34%",1132,3,29,1,1165,4,0.343347639484979
"Census Tract 8041.06","Cook County","Illinois","0.72%",1711,5,92,8,1816,13,0.715859030837004
"Census Tract 8041.08","Cook County","Illinois","1.57%",834,6,169,10,1019,16,1.57016683022571
"Census Tract 8041.09","Cook County","Illinois","1.07%",689,6,48,2,745,8,1.0738255033557
"Census Tract 8042.02","Cook County","Illinois","0.87%",1962,9,89,9,2069,18,0.869985500241663
"Census Tract 8042.03","Cook County","Illinois","0.65%",909,2,14,4,929,6,0.645855758880517
"Census Tract 8042.04","Cook County","Illinois","1.05%",1265,6,58,8,1337,14,1.04712041884817
"Census Tract 8043.05","Cook County","Illinois","1.12%",1249,5,164,11,1429,16,1.11966410076977
"Census Tract 8043.06","Cook County","Illinois","1.77%",946,12,110,7,1075,19,1.76744186046512
"Census Tract 8043.08","Cook County","Illinois","1.55%",981,13,165,5,1164,18,1.54639175257732
"Census Tract 8043.09","Cook County","Illinois","0.81%",555,4,61,1,621,5,0.805152979066023
"Census Tract 8043.12","Cook County","Illinois","1.24%",542,4,14,3,563,7,1.24333925399645
"Census Tract 8043.13","Cook County","Illinois","0.95%",1348,10,115,4,1477,14,0.947867298578199
"Census Tract 8043.14","Cook County","Illinois","0.76%",355,1,38,2,396,3,0.757575757575758
"Census Tract 8043.15","Cook County","Illinois","1.27%",492,5,51,2,550,7,1.27272727272727
"Census Tract 8043.16","Cook County","Illinois","0.74%",969,5,97,3,1074,8,0.74487895716946
"Census Tract 8044.03","Cook County","Illinois","2.12%",1305,16,215,17,1553,33,2.1249195106246
"Census Tract 8044.04","Cook County","Illinois","1.22%",985,9,66,4,1064,13,1.2218045112782
"Census Tract 8044.05","Cook County","Illinois","1.11%",544,5,78,2,629,7,1.11287758346582
"Census Tract 8044.06","Cook County","Illinois","1.07%",1045,9,152,4,1210,13,1.07438016528926
"Census Tract 8045.05","Cook County","Illinois","1.10%",683,4,126,5,818,9,1.10024449877751
"Census Tract 8045.06","Cook County","Illinois","0.77%",1219,6,65,4,1294,10,0.772797527047913
"Census Tract 8045.08","Cook County","Illinois","0.99%",334,1,68,3,406,4,0.985221674876847
"Census Tract 8045.09","Cook County","Illinois","1.95%",956,10,101,11,1078,21,1.94805194805195
"Census Tract 8045.10","Cook County","Illinois","0.89%",874,7,123,2,1006,9,0.894632206759443
"Census Tract 8045.11","Cook County","Illinois","1.87%",341,2,79,6,428,8,1.86915887850467
"Census Tract 8045.12","Cook County","Illinois","1.68%",852,14,82,2,950,16,1.68421052631579
"Census Tract 8045.13","Cook County","Illinois","0.49%",920,2,104,3,1029,5,0.485908649173955
"Census Tract 8045.14","Cook County","Illinois","0.48%",966,3,64,2,1035,5,0.483091787439614
"Census Tract 8046.03","Cook County","Illinois","2.42%",865,12,182,14,1073,26,2.42311276794035
"Census Tract 8046.06","Cook County","Illinois","0.56%",1681,7,82,3,1773,10,0.564015792442188
"Census Tract 8046.07","Cook County","Illinois","0.35%",1620,5,107,1,1733,6,0.346220427005193
"Census Tract 8046.08","Cook County","Illinois","0.99%",822,6,78,3,909,9,0.99009900990099
"Census Tract 8046.09","Cook County","Illinois","0.68%",1326,5,143,5,1479,10,0.676132521974307
"Census Tract 8046.10","Cook County","Illinois","0.40%",461,0,41,2,504,2,0.396825396825397
"Census Tract 8046.11","Cook County","Illinois","0.90%",1023,2,79,8,1112,10,0.899280575539568
"Census Tract 8047.01","Cook County","Illinois","0.53%",1127,5,189,2,1323,7,0.529100529100529
"Census Tract 8047.05","Cook County","Illinois","1.64%",749,7,93,7,856,14,1.63551401869159
"Census Tract 8047.06","Cook County","Illinois","0.49%",582,0,31,3,616,3,0.487012987012987
"Census Tract 8047.09","Cook County","Illinois","1.89%",1140,13,105,11,1269,24,1.89125295508274
"Census Tract 8047.10","Cook County","Illinois","0.78%",941,4,77,4,1026,8,0.779727095516569
"Census Tract 8047.11","Cook County","Illinois","1.20%",1368,9,197,10,1584,19,1.19949494949495
"Census Tract 8047.12","Cook County","Illinois","0.97%",1237,10,92,3,1342,13,0.968703427719821
"Census Tract 8047.13","Cook County","Illinois","0.92%",1053,10,130,1,1194,11,0.921273031825796
"Census Tract 8047.14","Cook County","Illinois","1.09%",738,6,75,3,822,9,1.09489051094891
"Census Tract 8047.15","Cook County","Illinois","1.30%",539,4,70,4,617,8,1.29659643435981
"Census Tract 8047.16","Cook County","Illinois","0.57%",1154,5,62,2,1223,7,0.572363041700736
"Census Tract 8048.03","Cook County","Illinois","0.97%",1225,4,96,9,1334,13,0.974512743628186
"Census Tract 8048.04","Cook County","Illinois","1.64%",1268,14,168,10,1460,24,1.64383561643836
"Census Tract 8048.05","Cook County","Illinois","0.97%",1420,5,117,10,1552,15,0.966494845360825
"Census Tract 8048.06","Cook County","Illinois","1.05%",707,8,45,0,760,8,1.05263157894737
"Census Tract 8048.07","Cook County","Illinois","0.69%",1070,8,89,0,1167,8,0.685518423307626
"Census Tract 8048.08","Cook County","Illinois","0.15%",655,0,24,1,680,1,0.147058823529412
"Census Tract 8048.09","Cook County","Illinois","0.37%",1041,4,47,0,1092,4,0.366300366300366
"Census Tract 8048.10","Cook County","Illinois","0.88%",1485,9,88,5,1587,14,0.882167611846251
"Census Tract 8049.01","Cook County","Illinois","0.66%",1577,9,87,2,1675,11,0.656716417910448
"Census Tract 8049.02","Cook County","Illinois","0.51%",1306,6,68,1,1381,7,0.506879073135409
"Census Tract 8050.01","Cook County","Illinois","0.70%",1238,6,36,3,1283,9,0.701480904130943
"Census Tract 8050.02","Cook County","Illinois","1.13%",1320,10,162,7,1499,17,1.13408939292862
"Census Tract 8051.05","Cook County","Illinois","1.48%",1127,13,200,7,1347,20,1.48478099480327
"Census Tract 8051.06","Cook County","Illinois","1.50%",606,5,49,5,665,10,1.50375939849624
"Census Tract 8051.07","Cook County","Illinois","2.12%",970,19,276,8,1273,27,2.1209740769835
"Census Tract 8051.08","Cook County","Illinois","1.74%",1093,12,208,11,1324,23,1.73716012084592
"Census Tract 8051.09","Cook County","Illinois","0.89%",1058,6,50,4,1118,10,0.894454382826476
"Census Tract 8051.10","Cook County","Illinois","0.78%",948,4,65,4,1021,8,0.783545543584721
"Census Tract 8051.11","Cook County","Illinois","1.55%",1328,15,200,9,1552,24,1.54639175257732
"Census Tract 8051.12","Cook County","Illinois","0.41%",690,3,41,0,734,3,0.408719346049046
"Census Tract 8052.01","Cook County","Illinois","0.73%",776,4,38,2,820,6,0.731707317073171
"Census Tract 8052.02","Cook County","Illinois","0.55%",845,3,57,2,907,5,0.551267916207277
"Census Tract 8053.01","Cook County","Illinois","1.26%",764,5,18,5,792,10,1.26262626262626
"Census Tract 8053.02","Cook County","Illinois","0.66%",863,4,41,2,910,6,0.659340659340659
"Census Tract 8054.01","Cook County","Illinois","0.55%",848,4,55,1,908,5,0.550660792951542
"Census Tract 8054.02","Cook County","Illinois","0.32%",1163,3,70,1,1237,4,0.323362974939369
"Census Tract 8055.01","Cook County","Illinois","0.35%",820,1,35,2,858,3,0.34965034965035
"Census Tract 8055.02","Cook County","Illinois","0.38%",1013,3,42,1,1059,4,0.377714825306893
"Census Tract 8056","Cook County","Illinois","0.66%",1178,6,30,2,1216,8,0.657894736842105
"Census Tract 8057.01","Cook County","Illinois","0.62%",1235,3,48,5,1291,8,0.619674670797831
"Census Tract 8057.02","Cook County","Illinois","0.40%",473,1,21,1,496,2,0.403225806451613
"Census Tract 8058.01","Cook County","Illinois","0.79%",588,5,40,0,633,5,0.789889415481833
"Census Tract 8058.02","Cook County","Illinois","0.75%",1126,5,59,4,1194,9,0.753768844221106
"Census Tract 8059.01","Cook County","Illinois","0.74%",843,3,95,4,945,7,0.740740740740741
"Census Tract 8059.02","Cook County","Illinois","0.54%",1412,6,51,2,1471,8,0.543847722637661
"Census Tract 8060.01","Cook County","Illinois","1.66%",1055,15,130,5,1205,20,1.6597510373444
"Census Tract 8060.02","Cook County","Illinois","0.79%",1388,6,117,6,1517,12,0.791034937376401
"Census Tract 8060.04","Cook County","Illinois","1.05%",1328,10,86,5,1429,15,1.04968509447166
"Census Tract 8060.05","Cook County","Illinois","1.59%",576,9,42,1,628,10,1.59235668789809
"Census Tract 8060.06","Cook County","Illinois","0.66%",864,4,35,2,905,6,0.662983425414365
"Census Tract 8061.02","Cook County","Illinois","1.38%",888,8,109,6,1011,14,1.38476755687438
"Census Tract 8061.03","Cook County","Illinois","0.79%",1173,7,85,3,1268,10,0.788643533123028
"Census Tract 8061.04","Cook County","Illinois","2.45%",594,11,122,7,734,18,2.45231607629428
"Census Tract 8062.01","Cook County","Illinois","1.92%",831,13,141,6,991,19,1.91725529767911
"Census Tract 8062.02","Cook County","Illinois","1.78%",868,13,124,5,1010,18,1.78217821782178
"Census Tract 8063","Cook County","Illinois","0.64%",996,4,84,3,1087,7,0.643974241030359
"Census Tract 8064","Cook County","Illinois","1.42%",507,8,47,0,562,8,1.42348754448399
"Census Tract 8065.01","Cook County","Illinois","1.26%",435,6,37,0,478,6,1.25523012552301
"Census Tract 8065.02","Cook County","Illinois","1.51%",766,8,80,5,859,13,1.51338766006985
"Census Tract 8066","Cook County","Illinois","0.98%",735,1,75,7,818,8,0.97799511002445
"Census Tract 8067","Cook County","Illinois","1.81%",1051,17,33,3,1104,20,1.81159420289855
"Census Tract 8068.01","Cook County","Illinois","1.20%",787,6,37,4,834,10,1.19904076738609
"Census Tract 8068.02","Cook County","Illinois","0.85%",673,6,29,0,708,6,0.847457627118644
"Census Tract 8069","Cook County","Illinois","1.09%",1008,4,79,8,1099,12,1.0919017288444
"Census Tract 8070","Cook County","Illinois","0.73%",1001,5,89,3,1098,8,0.728597449908925
"Census Tract 8071","Cook County","Illinois","1.91%",881,12,44,6,943,18,1.90880169671262
"Census Tract 8072","Cook County","Illinois","1.31%",1231,12,51,5,1299,17,1.30869899923018
"Census Tract 8073","Cook County","Illinois","1.46%",1452,18,98,5,1573,23,1.46217418944692
"Census Tract 8074","Cook County","Illinois","1.89%",1259,19,90,7,1375,26,1.89090909090909
"Census Tract 8075","Cook County","Illinois","1.51%",689,8,27,3,727,11,1.5130674002751
"Census Tract 8076","Cook County","Illinois","1.01%",1310,13,65,1,1389,14,1.00791936645068
"Census Tract 8077","Cook County","Illinois","0.99%",1125,9,74,3,1211,12,0.990916597853014
"Census Tract 8078","Cook County","Illinois","0.80%",591,5,31,0,627,5,0.797448165869219
"Census Tract 8079","Cook County","Illinois","1.42%",937,8,33,6,984,14,1.42276422764228
"Census Tract 8080.01","Cook County","Illinois","1.03%",840,5,27,4,876,9,1.02739726027397
"Census Tract 8080.02","Cook County","Illinois","0.97%",989,7,31,3,1030,10,0.970873786407767
"Census Tract 8081","Cook County","Illinois","1.83%",613,7,30,5,655,12,1.83206106870229
"Census Tract 8082","Cook County","Illinois","0.75%",1146,5,52,4,1207,9,0.745650372825186
"Census Tract 8083.01","Cook County","Illinois","1.74%",1343,13,72,12,1440,25,1.73611111111111
"Census Tract 8083.02","Cook County","Illinois","0.64%",888,3,44,3,938,6,0.639658848614073
"Census Tract 8084","Cook County","Illinois","0.46%",1043,4,30,1,1078,5,0.463821892393321
"Census Tract 8085","Cook County","Illinois","0.59%",969,4,47,2,1022,6,0.587084148727984
"Census Tract 8086","Cook County","Illinois","0.67%",564,3,27,1,595,4,0.672268907563025
"Census Tract 8087.02","Cook County","Illinois","4.24%",137,3,21,4,165,7,4.24242424242424
"Census Tract 8088","Cook County","Illinois","2.71%",831,10,65,15,921,25,2.71444082519001
"Census Tract 8089","Cook County","Illinois","2.37%",989,15,40,10,1054,25,2.3719165085389
"Census Tract 8090","Cook County","Illinois","0.98%",881,5,31,4,921,9,0.977198697068404
"Census Tract 8091","Cook County","Illinois","2.35%",744,11,45,8,808,19,2.35148514851485
"Census Tract 8092","Cook County","Illinois","3.37%",568,18,62,4,652,22,3.37423312883436
